"id","fiscal_year","profit_center_code","user_id","volume","is_published","assignment_date","created_at","updated_at"
"1","2025","110","5","1045","1","2025-04-01",NULL,NULL
"2","2025","143","5","943","1","2025-04-01",NULL,NULL
"3","2025","144","5","69340","1","2025-04-01",NULL,NULL
"4","2025","171","5","1105","1","2025-04-01",NULL,NULL
"5","2025","140","4","2495341","1","2025-04-01",NULL,NULL
"6","2025","142","4","241773","1","2025-04-01",NULL,NULL
"7","2025","143","4","943","1","2025-04-01",NULL,NULL
"8","2025","173","4","1457","1","2025-04-01",NULL,NULL
"9","2025","174","4","938","1","2025-04-01",NULL,NULL
"10","2025","173","6","1458","1","2025-04-01",NULL,NULL
"11","2025","174","6","938","1","2025-04-01",NULL,NULL
"12","2025","110","7","270","1","2025-04-01",NULL,NULL
"13","2025","130","7","40921","1","2025-04-01",NULL,NULL
"14","2025","141","7","11168","1","2025-04-01",NULL,NULL
"15","2025","143","7","943","1","2025-04-01",NULL,NULL
"16","2025","160","7","167209","1","2025-04-01",NULL,NULL
"17","2025","170","7","1302","1","2025-04-01",NULL,NULL
"18","2025","174","7","469","1","2025-04-01",NULL,NULL
"19","2025","130","8","40921","1","2025-04-01",NULL,NULL
"20","2025","141","8","7446","1","2025-04-01",NULL,NULL
"21","2025","143","8","943","1","2025-04-01",NULL,NULL
"22","2025","144","8","38521","1","2025-04-01",NULL,NULL
"23","2025","160","8","58390","1","2025-04-01",NULL,NULL
"24","2025","174","8","469","1","2025-04-01",NULL,NULL
"25","2025","175","8","1","1","2025-04-01",NULL,NULL
"26","2025","130","9","20460","1","2025-04-01",NULL,NULL
"27","2025","141","9","6205","1","2025-04-01",NULL,NULL
"28","2025","143","9","471","1","2025-04-01",NULL,NULL
"29","2025","160","9","39812","1","2025-04-01",NULL,NULL
"30","2025","174","9","235","1","2025-04-01",NULL,NULL
"31","2025","170","10","902","1","2025-04-01",NULL,NULL
"32","2025","171","10","105","1","2025-04-01",NULL,NULL
"33","2025","110","11","34","1","2025-04-01",NULL,NULL
"34","2025","143","11","943","1","2025-04-01",NULL,NULL
"35","2025","144","11","69338","1","2025-04-01",NULL,NULL
"36","2025","170","11","701","1","2025-04-01",NULL,NULL
"37","2025","171","11","210","1","2025-04-01",NULL,NULL
"38","2025","174","11","469","1","2025-04-01",NULL,NULL
"39","2025","110","17","438","1","2025-04-01",NULL,NULL
"40","2025","143","17","943","1","2025-04-01",NULL,NULL
"41","2025","110","13","168","1","2025-04-01",NULL,NULL
"42","2025","143","13","943","1","2025-04-01",NULL,NULL
"43","2025","144","13","69338","1","2025-04-01",NULL,NULL
"44","2025","170","13","5010","1","2025-04-01",NULL,NULL
"45","2025","171","13","210","1","2025-04-01",NULL,NULL
"46","2025","174","13","704","1","2025-04-01",NULL,NULL
"47","2025","110","14","67","1","2025-04-01",NULL,NULL
"48","2025","143","14","943","1","2025-04-01",NULL,NULL
"49","2025","144","14","69338","1","2025-04-01",NULL,NULL
"50","2025","170","14","2104","1","2025-04-01",NULL,NULL
"51","2025","171","14","210","1","2025-04-01",NULL,NULL
"52","2025","110","12","606","1","2025-04-01",NULL,NULL
"53","2025","143","12","943","1","2025-04-01",NULL,NULL
"54","2025","144","12","69338","1","2025-04-01",NULL,NULL
"55","2025","171","12","788","1","2025-04-01",NULL,NULL
"56","2025","174","12","469","1","2025-04-01",NULL,NULL
"57","2025","110","16","741","1","2025-04-01",NULL,NULL
"58","2025","143","16","471","1","2025-04-01",NULL,NULL
